Source,Target,Weight,Type
new_it001,new_it002,42,undirected
new_it001,new_it003,46,undirected
new_it001,new_it004,9,undirected
new_it001,old_it003,28,undirected
new_it001,old_it006,10,undirected
new_it001,old_it010,3,undirected
new_it001,old_it011,9,undirected
new_it002,new_it001,42,undirected
new_it002,new_it003,36,undirected
new_it002,new_it004,2,undirected
new_it002,old_it003,26,undirected
new_it002,old_it010,18,undirected
new_it002,old_it025,8,undirected
new_it002,old_it037,2,undirected
new_it003,new_it001,46,undirected
new_it003,new_it002,36,undirected
new_it003,new_it004,18,undirected
new_it003,old_it003,60,undirected
new_it003,old_it010,7,undirected
new_it003,old_it018,4,undirected
new_it003,old_it026,1,undirected
new_it004,new_it001,9,undirected
new_it004,new_it002,2,undirected
new_it004,new_it003,18,undirected
new_it004,old_it003,1,undirected
new_it004,old_it010,43,undirected
new_it004,old_it011,1,undirected
new_it004,old_it025,3,undirected
new_it004,old_it026,5,undirected
old_it003,new_it001,28,undirected
old_it003,new_it002,26,undirected
old_it003,new_it003,60,undirected
old_it003,new_it004,1,undirected
old_it003,old_it010,20,undirected
old_it003,old_it025,1,undirected
old_it003,old_it026,1,undirected
old_it006,new_it001,10,undirected
old_it006,old_it010,6,undirected
old_it006,old_it011,57,undirected
old_it006,old_it018,6,undirected
old_it006,old_it055,3,undirected
old_it006,old_it062,2,undirected
old_it006,old_it067,4,undirected
old_it010,new_it001,3,undirected
old_it010,new_it002,18,undirected
old_it010,new_it003,7,undirected
old_it010,new_it004,43,undirected
old_it010,old_it003,20,undirected
old_it010,old_it006,6,undirected
old_it010,old_it011,7,undirected
old_it010,old_it018,14,undirected
old_it010,old_it025,27,undirected
old_it010,old_it026,15,undirected
old_it010,old_it032,6,undirected
old_it010,old_it046,20,undirected
old_it010,old_it049,5,undirected
old_it010,old_it055,4,undirected
old_it010,old_it066,2,undirected
old_it011,new_it001,9,undirected
old_it011,new_it004,1,undirected
old_it011,old_it006,57,undirected
old_it011,old_it010,7,undirected
old_it011,old_it025,12,undirected
old_it011,old_it032,13,undirected
old_it011,old_it046,7,undirected
old_it011,old_it049,2,undirected
old_it011,old_it062,9,undirected
old_it018,new_it003,4,undirected
old_it018,old_it006,6,undirected
old_it018,old_it010,14,undirected
old_it018,old_it032,47,undirected
old_it018,old_it055,8,undirected
old_it018,old_it067,8,undirected
old_it025,new_it002,8,undirected
old_it025,new_it004,3,undirected
old_it025,old_it003,1,undirected
old_it025,old_it010,27,undirected
old_it025,old_it011,12,undirected
old_it025,old_it026,40,undirected
old_it025,old_it046,1,undirected
old_it025,old_it049,2,undirected
old_it026,new_it003,1,undirected
old_it026,new_it004,5,undirected
old_it026,old_it003,1,undirected
old_it026,old_it010,15,undirected
old_it026,old_it025,40,undirected
old_it026,old_it032,6,undirected
old_it026,old_it049,9,undirected
old_it032,old_it010,6,undirected
old_it032,old_it011,13,undirected
old_it032,old_it018,47,undirected
old_it032,old_it026,6,undirected
old_it032,old_it046,4,undirected
old_it032,old_it049,10,undirected
old_it032,old_it062,1,undirected
old_it032,old_it067,2,undirected
old_it037,new_it002,2,undirected
old_it037,old_it040,32,undirected
old_it037,old_it049,13,undirected
old_it037,old_it067,6,undirected
old_it037,old_it071,52,undirected
old_it040,old_it037,32,undirected
old_it040,old_it049,16,undirected
old_it040,old_it055,11,undirected
old_it040,old_it071,13,undirected
old_it046,old_it010,20,undirected
old_it046,old_it011,7,undirected
old_it046,old_it025,1,undirected
old_it046,old_it032,4,undirected
old_it046,old_it049,21,undirected
old_it046,old_it055,11,undirected
old_it046,old_it067,3,undirected
old_it047,old_it049,7,undirected
old_it047,old_it057,16,undirected
old_it047,old_it067,32,undirected
old_it047,old_it069,59,undirected
old_it049,old_it010,5,undirected
old_it049,old_it011,2,undirected
old_it049,old_it025,2,undirected
old_it049,old_it026,9,undirected
old_it049,old_it032,10,undirected
old_it049,old_it037,13,undirected
old_it049,old_it040,16,undirected
old_it049,old_it046,21,undirected
old_it049,old_it047,7,undirected
old_it049,old_it055,46,undirected
old_it049,old_it057,5,undirected
old_it049,old_it062,2,undirected
old_it049,old_it066,21,undirected
old_it049,old_it067,29,undirected
old_it049,old_it071,27,undirected
old_it055,old_it006,3,undirected
old_it055,old_it010,4,undirected
old_it055,old_it018,8,undirected
old_it055,old_it040,11,undirected
old_it055,old_it046,11,undirected
old_it055,old_it049,46,undirected
old_it055,old_it057,15,undirected
old_it055,old_it062,31,undirected
old_it055,old_it066,23,undirected
old_it055,old_it067,60,undirected
old_it057,old_it047,16,undirected
old_it057,old_it049,5,undirected
old_it057,old_it055,15,undirected
old_it057,old_it067,1,undirected
old_it057,old_it069,49,undirected
old_it062,old_it006,2,undirected
old_it062,old_it011,9,undirected
old_it062,old_it032,1,undirected
old_it062,old_it049,2,undirected
old_it062,old_it055,31,undirected
old_it062,old_it066,25,undirected
old_it062,old_it067,10,undirected
old_it066,old_it010,2,undirected
old_it066,old_it049,21,undirected
old_it066,old_it055,23,undirected
old_it066,old_it062,25,undirected
old_it066,old_it067,15,undirected
old_it066,old_it071,11,undirected
old_it067,old_it006,4,undirected
old_it067,old_it018,8,undirected
old_it067,old_it032,2,undirected
old_it067,old_it037,6,undirected
old_it067,old_it046,3,undirected
old_it067,old_it047,32,undirected
old_it067,old_it049,29,undirected
old_it067,old_it055,60,undirected
old_it067,old_it057,1,undirected
old_it067,old_it062,10,undirected
old_it067,old_it066,15,undirected
old_it067,old_it069,13,undirected
old_it067,old_it071,2,undirected
old_it069,old_it047,59,undirected
old_it069,old_it057,49,undirected
old_it069,old_it067,13,undirected
old_it071,old_it037,52,undirected
old_it071,old_it040,13,undirected
old_it071,old_it049,27,undirected
old_it071,old_it066,11,undirected
old_it071,old_it067,2,undirected
